"Year","Month","Temp Mean","Dew Point Mean","Humidity Mean","Sea Level Press Mean","Visibility Mean","Wind Mean","Temp Std","Dew Point Std","Humidity Std","Sea Level Press Std","Visibility Std","Wind Std","Precip sum","fog","rain","snow"
"2016","Dec",3.6451612903225805,-3.967741935483871,57.483870967741936,1019.2258064516129,14.096774193548388,9.870967741935484,3.7635637460736096,5.910536632848275,12.333722373892394,8.346178099331743,2.8096014952150545,3.1596440743189365,73.42,2,10,3
"2013","Jun",22.733333333333334,15.366666666666667,66.93333333333334,1012.9666666666667,13.0,7.2,3.567756842735908,4.167199965871035,10.89933739066534,6.405639876095301,3.444802848737017,2.1197484127446193,256.53000000000003,5,15,0
"2011","Dec",6.483870967741935,-0.5161290322580645,62.483870967741936,1020.9032258064516,14.64516129032258,9.387096774193548,4.039090984782427,6.559263175289242,14.08927976762643,8.573608562776881,2.7066034791487783,3.2693830862761097,101.58,1,9,0
"2014","Mar",2.806451612903226,-8.258064516129032,47.32258064516129,1016.4516129032259,14.774193548387096,11.419354838709678,5.378687661254936,7.602918547995274,14.724101586644222,8.968902222455243,2.4719024594410346,3.5900776660516747,89.16000000000001,0,6,2
"2009","Jun",19.866666666666667,15.366666666666667,78.86666666666666,1011.1666666666666,11.833333333333334,7.133333333333334,2.65497436689865,2.9152853872114974,9.290616532585746,6.175669104549637,3.688570936766101,2.4864074931962024,511.02000000000004,10,40,0
"2011","Sep",21.2,16.8,78.1,1016.7666666666667,12.733333333333333,7.133333333333334,3.2186953878862163,4.284857057125711,11.18436408563312,5.77167412647511,3.2550814975289875,3.3638602164114304,238.48999999999998,2,11,0
"2009","Nov",10.8,4.166666666666667,66.6,1019.0333333333333,14.666666666666666,11.133333333333333,2.3860706890897716,4.06680327639399,12.43007106442544,7.595978468169123,2.467567403109566,4.9781745873585255,81.80000000000001,0,20,0
"2014","Jun",22.4,13.866666666666667,62.6,1015.8666666666667,13.633333333333333,6.633333333333334,2.4576411454889016,3.7835902996433894,12.349358957721922,4.709800656314683,3.3910011632096033,1.7978382080215736,109.48000000000002,2,10,0
"2016","Oct",14.96774193548387,8.516129032258064,67.25806451612904,1019.483870967742,13.838709677419354,7.419354838709677,4.269047419376667,5.780227519475255,11.074433625466808,7.286182095702643,2.5664934556020755,3.599051788640349,105.4,2,6,0
"2011","Apr",12.5,4.966666666666667,64.46666666666667,1013.5666666666667,13.066666666666666,11.766666666666667,4.417767158493832,6.112737157407929,14.122637462205455,8.085721296760658,3.3259919155377125,3.809491071287899,135.88,1,13,0
